transaction_id,timestamp,amount,channel,country,customer_segment,merchant_category,risk_score,is_fraud
TX000000,2024-05-30 19:00,1337.39,ACH,GB,Corporate,Crypto,53,0
TX000001,2024-01-11 12:00,12425.68,Wire,SG,Retail,Financial Services,60,0
TX000002,2024-02-20 21:00,129.23,Card,GB,Retail,Retail,35,0
TX000003,2024-02-28 00:00,1981.83,ACH,AE,Corporate,Retail,51,0
TX000004,2024-01-05 01:00,301.06,ACH,KY,Retail,Financial Services,65,0
TX000005,2024-06-21 02:00,684.44,ACH,US,Retail,Gambling,47,0
TX000006,2024-01-26 21:00,2845.36,Crypto,US,HNW,Real Estate,84,1
TX000007,2024-04-08 13:00,24920.51,SWIFT,DE,Corporate,Crypto,72,0
TX000008,2024-02-07 10:00,8105.54,Wire,US,Corporate,Gambling,62,0
TX000009,2024-04-04 14:00,644.58,ACH,KY,Retail,Crypto,75,0
TX000010,2024-02-09 23:00,437.41,Card,DE,SME,Crypto,47,0
TX000011,2024-05-03 13:00,8394.18,Wire,GB,SME,Retail,72,0
TX000012,2024-03-06 16:00,1941.43,Wire,RU,Corporate,Crypto,84,0
TX000013,2024-06-06 08:00,161.13,Card,US,Retail,Crypto,35,0
TX000014,2024-01-16 04:00,69.21,Card,AE,Retail,Retail,41,0
TX000015,2024-05-29 18:00,13215.2,Crypto,US,Corporate,Retail,80,0
TX000016,2024-06-02 10:00,129.87,Card,DE,Retail,Crypto,28,0
TX000017,2024-03-28 21:00,835.06,Card,KY,SME,Financial Services,63,0
TX000018,2024-04-07 02:00,212.77,Card,US,Retail,Retail,44,0
TX000019,2024-05-28 14:00,311.13,Card,US,HNW,Real Estate,43,0
TX000020,2024-02-28 21:00,3944.27,Wire,US,Retail,Financial Services,69,0
TX000021,2024-02-13 10:00,5945.19,SWIFT,RU,Retail,Financial Services,93,0
TX000022,2024-07-12 18:00,217.99,ACH,AE,Retail,Gambling,53,0
TX000023,2024-04-30 06:00,8654.45,SWIFT,CN,Retail,Financial Services,68,0
TX000024,2024-06-08 19:00,7647.54,ACH,DE,SME,Retail,59,0
TX000025,2024-06-13 14:00,303.57,Card,SG,Retail,Crypto,45,0
TX000026,2024-06-10 02:00,5125.14,Wire,US,Retail,Crypto,56,0
TX000027,2024-07-01 07:00,1322.36,SWIFT,DE,Retail,Gambling,78,1
TX000028,2024-02-10 02:00,438.94,Card,GB,Corporate,Financial Services,49,0
TX000029,2024-01-02 18:00,105.03,Card,US,Retail,Real Estate,25,0
TX000030,2024-07-03 03:00,390.56,Card,US,SME,Crypto,48,0
TX000031,2024-07-02 11:00,13687.79,SWIFT,DE,Retail,Real Estate,52,0
TX000032,2024-01-08 01:00,9142.28,Wire,DE,SME,Crypto,69,0
TX000033,2024-06-22 15:00,5602.11,ACH,US,Corporate,Real Estate,50,0
TX000034,2024-07-05 17:00,197.0,Card,KY,Retail,Gambling,60,0
